Bug area,Sub-area,project(app/web?),Checkpoint,Related issues
Cart/Order confirmation,,JMA,"注意检查多个coupon组合下单时各个页面产品名称是否会缺失
Check if product names are missing on each page when multiple coupon combinations are placed",JMA-2989
Order History,Drop-off delivery,JMA,"检查MDS order history的Drop-off delivery状态是否正确
Check whether the Drop-off delivery status of MDSorder history is correct",JMA-2211
Order History,Coupon,Lacoste,"注意历史订单页面的结算金额是否扣减优惠券（可通过Gmail价格对比）
Pay attention to whether the settlement amount on the historical order page is deducted from the coupon",LAX-4936
Page builder,Schedule publish,ThePlant website,"测试一些定时功能需要注意是否会有时区不一致的问题
When testing some timing functions, it is necessary to pay attention to whether there will be any inconsistency in time zones.",MAINT-347
PDP,,JMA,"注意下方banner是否会挡住内容
Pay attention to whether the bottom drawer affects user usage",JMA-2220
PDP,Size guide,Aigle,"打开Size guide时Web和mobile都要注意页面是否可以滑动
When opening Size guide, both Web and mobile should pay attention to whether the page can slide",LAX-5596
PDP,,KAK,"注意检查前后台商品详情信息是否一致，如果没有商品数据记得找开发提供
Please check whether the product detail information in the front and back ends is consistent. If there is no product data, remember to ask the development team for it",KAK-3933
PDP,,KAK,"注意商品Case内的产品数量大于商品总库存量时，不展示case选项
Note that when the number of products in a case is greater than the total inventory of the product, the case option will not be displayed.",KAK-3972
PDP,,KAK,"注意折扣信息展示的位置是否合理
Pay attention to whether the position of the discount information display is reasonable",KAK-2961
PDP,,JMA,"检查页面文字与文字之间是否对齐
Check whether the text on the page is aligned",JMA-3129
PDP,Rating star,KAK,"注意rating star应为固定显示，不可交互
The rating star should be displayed in a fixed manner and should not be interactive.",KAK-7502
PDP,,Lacoste,"检查网页横竖屏切换时，页面布局是否正常
Check whether the page layout is normal when switching between portrait and landscape modes on the web page.",LAX-7190
PDP,,KAK,"注意可以跳转的点击范围
Note the clickable range that allows for navigation.",KAK-8150
MMR Reward details page,,JMA,"注意多次兑换，重复进入detail page时，point显示是否正确
Please check whether the points are displayed correctly when repeatedly exchanging and entering the detail page multiple times.",MMR-1116
PDP,login,KAK,"检查匿名用户应先要求登录再进行跳转
Anonymous users should be requested to log in before redirection",KAK-8217
PDP,,JMA,"检查可选size的饮料，展示是否正常
Check the available sizes of the beverages and verify if they are functioning properly",CLR-539
PDP,Sauce,JMA,"检查特殊商品（15pc鸡块）添加酱料的提示展示是否正常
Check if the prompt for adding sauce to the special product (15pc chicken nuggets) is displayed correctly.",CF81D0TJ4
PDP,Video,Lacoste,"注意右键点击显示所有控件的功能是否会影响需求
Pay attention to whether the function of right-clicking to display all controls will affect the requirements",LAX-7512
PDP/Cart,,JMA,"注意从推荐产品(新产品)进入PDP时，检查产品信息是否完整
When entering the PDP from the recommended products (new products), make sure to check if the product information is complete.",JMA-3222
PLP/PDP,,Lacoste,"检查不同页面同一产品的价格显示是否一致
Check whether the price display of the same product on different pages is consistent.",LAX-7194
Pickup,,JMA,"注意检查同时有MDS/MOP订单时，切换查看pickup页面的UI是否正常
Please pay attention to checking whether the UI on the pickup page functions properly when there are both MDS/MOP orders.",MDX-11721
PLP,Product price,Aigle,"注意对比PDP/PLP的产品价格是否一致，比如是否含税
Check whether the product prices on PDP and PLP are consistent, such as whether tax is included.",LAX-5215
PLP,tag,Aigle,"注意检查popular tag显示是否完整
Ensure that the popular tag is displayed completely.",LAX-5617
PLP,Inherit filter,KAK,"检查清空筛选条件后，结果是否正确
Check whether the results are correct after clearing the filter conditions.",KAK-2747
PLP,Inherit filter,KAK,"排序功能注意和商品数据对比是否排序正确，如果没有商品数据记得找开发提供
For the sorting function, pay attention to comparing it with the product data to see if the sorting is correct. If there is no product data, remember to ask the developer for it",KAK-4428
MMR Reward list page,,JMA,"字体样式会有些细微的差别, 有特定要求时要注意字体是否正确。
There may be some subtle differences in font styles. When there are specific requirements, pay attention to whether the font is correct.",MMR-1149
PLP/Checkout,EDT,JMA,"注意不同支付方式的EDT不同，不同页面（PLP/Checkout）的默认支付方式（Cash/online）要一致
Note that the EDT of different payment methods is different, and the default payment method (Cash/online) should be the same for different pages (PLP/Checkout)","JMA-2594
JMA-2559
JMA-2560"
PLP/PDP,Price,JMA,"注意检查产品价格在PLP/PDP显示是否一致
Please check whether the product price is consistent in PLP/PDP",MDX-8253
PLP/PDP,popup,JMA,"注意一次性popup在切换页面（从PDP点击关联套餐跳转）时，是否会多次显示
Check whether a one-time popup appears multiple times when switching pages (jumping from PDP to a related bundle).",JMA-2824
PLP/PDP,,KAK,"考虑一些文字内容是否有显示的必要
Consider whether certain text content is necessary to display.
比如有整箱购买优惠的文字，实际价格并无优惠，此时可以隐藏该文字
For example, if a message indicates a bulk purchase discount but no actual discount is applied, it may be better to hide that text.",KAK-4748
PLP/PDP,,JMA,"注意检查千位分隔符
Be sure to check the thousands separator",JMA-3126
MMR Point history detail page,,JMA,"注意系统使用日本日历时APP内日期展示是否正常
Pay attention to whether the date display in the APP is normal when the system uses the Japanese calendar",MMR-924
Popup,,JMA,"注意检查错误提示与实际是否相符
Pay attention to checking whether the error messages match the actual situation.",MDX-11792
Product,,JMA,"注意切换Tab的时候，页面UI是否会出现异常
Pay attention to whether the page UI will be abnormal when switching tabs",JMA-3252
Register,verification code page,KAK,"检查输入验证码的页面，iOS17以上系统自带的自动输入验证码功能是否正常
Check the page where you enter the verification code. Is the automatic verification code entry function of iOS 17 or above working properly.",KAK-2776
Register,Location,KAK,"检查关闭手机系统定位服务后，点击定位按钮是否有反应
Check if there is any response when clicking the positioning button after turning off the mobile system phone positioning service.",KAK-2986
Register,,KAK,"[WEB]注意浏览器返回会不会对流程是否正确
[WEB] Note whether the browser's return value affects the correctness of the process.",KGM-1412
Register,,KAK,"注意检查在页面有其他链接可以跳转的情况下返回后流程是否能够正常进行
Please check whether the process can proceed normally after returning if there are other links on the page that can redirect.",KGM-1451
Register,,KAK,"检查切换选项后，是否影响流程
After checking the switching options, will it affect the process?",KGM-1364
Roommateinfo-form,,VHM,"检查可以上传的文件类型是否都可以上传成功
Check whether all uploadable file types can be uploaded successfully",VHM-1640
Store finder,Store list,JMA,"店铺搜索结果出来前，切换店铺列表检查是否会崩溃
Before the store search results come out, switch the store list to check if it will crash.",JMA-2378
Store finder,Selected tab,JMA,"检查Break order之后再取消订单，store finder会不会有异常
Check cancel the order after breaking order, store finder will not be abnormal",JMA-2692
Store finder,button,JMA,"注意在store finder界面，长名称店铺的order按钮是否正常
Pay attention to whether the order button of the store with a long name is normal in the store finder interface",JMA-3186
Sub links,,VHM,"注意对比PC/mobile应该展示的链接是否展示完全，icon是否展示是完整
Pay attention to whether the link that should be displayed on PC/mobile is displayed completely and whether the icon is displayed completely",VHM-832
Sub links,,VHM,"检查搜索后相应子链接是否展示，注意是否有城市名重复展示
Check whether the corresponding sub-links are displayed after the search, and pay attention to whether there are repeated city names",VHM-864
Coupon,,JMA,"在倒计时的页面将APP切换到后台，检查倒计时是否正确计时
Switch the app to the background on the countdown page and check if the countdown is working correctly.",CLR-397
Wrapping paper,,KAK,"注意检查不同分辨率手机排列布局是否展示正常
Please check whether the layout of mobile phones with different resolutions is displayed normally.",KAK-4883
Email,,KAK,"更加注意保持email中的订单详细信息与cart/shipping/payment/order history保持一致
Pay more attention to keeping the order details in the email consistent with cart/shipping/payment/order history",KAK-4892
PDP,sauce,JMA,"注意有sauce的产品在每个版本下是否都能正常展示sauce
Please ensure that products containing ""sauce"" display the sauce correctly across all versions.","MDX-12152
JMA-3427"
Coupon,KODO,JMA,"注意检查breakorder之后KODO是否在coupon list中移除
Please check if KODO has been removed from the coupon list after the breakorder.","CLR-730
CLR-746"
PDP,Tag,KAK,"注意检查前台展示的时间是否为JST
Please check if the time displayed on the front end is JST.",KGM-2251
Form,,VHM,"在测试表单的时候注意前后表单跳转是否符合流程
When testing the form, pay attention to whether the form transitions before and after conform to the process","VHM-1929
VHM-1935"
Form,,VHM,"注意下载的表格用不同文档阅读器打开是否兼容
Pay attention to whether the downloaded form is compatible when opened with different document readers",VHM-1936
MMR Coupon Tab,,JMA,"注意在旧版本兑换完reward之后再升级新版本是否能正常使用
Please note whether it can be used normally when upgrading to the new version after redeeming the reward in the old version",MMR-1628
PDP,,VHM,"注意reset之后功能与之前是否一致
Pay attention to whether the functions after reset are the same as before",VHM-1980
Cart,,JMA,"注意coupon和set 含有完全相同组合产品加入购物车时是否分开展示
Pay attention to whether the coupon and set contain exactly the same combination of products and are displayed separately when added to the cart",JMA-3431
Checkout,,JMA,"注意firebase修改配置后是否会影响前台
Note whether the configuration modification in Firebase will affect the front-end.",JMA-3439
Favorite,,KAK,"注意修改内容时，快速刷新页面后修改是否生效
Note that after quickly refreshing the page, the modifications will take effect.",KGM-1745
Coupon,,JMA,"注意线下使用的coupon在使用完后，是否从coupon bin移除
Please note whether the coupons used offline will be removed from the coupon bin after being used up.",CLR-618
Cart,,KAK,"注意清空Cart后，重新登陆，Cart的稍后购买是否完全清空
Please note that after clearing the Cart, if you log in again, will the subsequent purchases in the Cart be completely cleared?",KGM-1956
Register,Address,KAK,"注册账号选择地址时，回退上一步，展示的列表顺序是否一致
When registering an account and choosing the address, if you click the ""Back"" button, does the displayed list order remain the same?",KGM-1738
